image_name,run_length,value,huffman_code,code_length
0000.jpg,6,-26,001110011100000,15
0000.jpg,6,-24,000110111011110,15
0000.jpg,6,-23,111010111011001,15
0000.jpg,6,-20,111010110011111,15
0000.jpg,6,17,111010111011010,15
0000.jpg,6,19,101010010000010,15
0000.jpg,6,23,001110011100001,15
0000.jpg,6,25,000110111000010,15
0000.jpg,7,-25,101010010000100,15
0000.jpg,7,-20,111111000000000,15
0000.jpg,7,16,000110111011100,15
0000.jpg,7,17,111010110011100,15
0000.jpg,7,25,000110111011111,15
0000.jpg,8,3,111010111011011,15
0000.jpg,10,-1,101010001111010,15
0000.jpg,12,-2,101010001110101,15
0000.jpg,12,2,111010110011001,15
0000.jpg,13,4,001110011100010,15
0000.jpg,14,-3,000110111011101,15
0000.jpg,14,4,000110111011000,15
0000.jpg,15,5,101010010000011,15
0000.jpg,15,6,001110011100011,15
0000.jpg,17,-1,111010110011101,15
0000.jpg,17,1,000110111000011,15
0000.jpg,20,-1,000110111010010,15
0000.jpg,20,1,000110111010011,15
0000.jpg,24,-1,000110111010101,15
0000.jpg,31,-1,111010110011110,15
0000.jpg,31,1,000110111011010,15
0000.jpg,0,-40,1010100100110000,16
0000.jpg,0,-37,1010100100111000,16
0000.jpg,1,-28,1010100100110001,16
0000.jpg,1,-26,1010100100001011,16
0000.jpg,1,-23,1010100100100001,16
0000.jpg,1,-20,1010100100001100,16
0000.jpg,1,-14,1010100100011101,16
0000.jpg,1,12,1010100100001110,16
0000.jpg,1,22,1010100100100010,16
0000.jpg,1,24,1010100100011110,16
0000.jpg,2,-32,1010100100010110,16
0000.jpg,2,-28,1010100100001010,16
0000.jpg,2,-27,1010100100101101,16
0000.jpg,2,-22,1010100100011100,16
0000.jpg,2,-19,1010100100010000,16
0000.jpg,2,-16,1010100100111001,16
0000.jpg,2,19,1010100100010111,16
0000.jpg,2,23,1010100100011001,16
0000.jpg,2,24,1010100100100111,16
0000.jpg,3,-35,1010100100010010,16
0000.jpg,3,-25,1010100100001111,16
0000.jpg,3,-22,1010100100110110,16
0000.jpg,3,-20,1010100100100011,16
0000.jpg,3,-18,1111110000000011,16
0000.jpg,3,-16,1010100100100101,16
0000.jpg,3,20,1010100100011000,16
0000.jpg,3,26,1010100100101000,16
0000.jpg,3,28,1010100100111010,16
0000.jpg,3,30,1010100100101010,16
0000.jpg,3,36,1010100100101001,16
0000.jpg,4,-38,1010100100011111,16
0000.jpg,4,-28,1010100100011011,16
0000.jpg,4,-26,1010100100010101,16
0000.jpg,4,-22,1010100100111011,16
0000.jpg,4,-21,1010100100100110,16
